pais,entidad,relacion,objeto
argentina,arroyo el rey,zona_resistencia,parte norte de santa fe
argentina,arroyo el rey,época_más_peligrosa,agobiante calor
argentina,cadejo,aparece,durante las noches
argentina,cadejo,aparece_en,sitios solitarios
argentina,cadejo,arrastra,cadenas
argentina,cadejo,es,perro espectral
argentina,cadejo,etimología,cruce entre cadarzo y madeja
argentina,cadejo,función,cuidar o atormentar borrachos
argentina,cadejo,origen_mitológico,mitología maya
argentina,cadejo,origen_mitológico,tradiciones nahuas
argentina,cadejo,relacionado_con,nahuales
argentina,cadejo,tiene_mito_y_leyenda,ojos brillantes
argentina,cadejo,versiones,cadejo blanco y cadejo negro
argentina,cadejo blanco,es,divino y protector
argentina,cadejo negro,es,monstruoso y malvado
argentina,cegua,apariencia,mujer hermosa
argentina,cegua,es,criatura mitológica
argentina,cegua,función,castigar hombres mujeriegos
argentina,cegua,región,centroamérica principalmente
argentina,cegua,también_llamada,segua o tzegua
argentina,cegua,transformación,rostro de caballo
argentina,cegua,víctimas_preferidas,hombres trasnochadores
argentina,chupacabras,ataca,animales
argentina,chupacabras,ataca_en,zonas ganaderas o rurales
argentina,chupacabras,descripción,varía según región
argentina,chupacabras,es,críptido legendario
argentina,chupacabras,método_ataque,chupar la sangre
argentina,chupacabras,popularidad,américa latina
argentina,chupacabras,tipo,ser mitológico moderno
argentina,curupira,apariencia,niño pelirrojo
argentina,curupira,característica_distintiva,pies al revés
argentina,curupira,es,criatura mitológica
argentina,curupira,función,proteger animales
argentina,curupira,función,proteger bosques
argentina,curupira,origen,mitología tupí-guaraní
argentina,curupira,poder,desorientar cazadores
argentina,curupira,región,selvas de sudamérica
argentina,difunta correa,culto,no reconocido por iglesia católica
argentina,difunta correa,es,devoción popular
argentina,difunta correa,historia,amamantaba a su hijo después de muerta
argentina,difunta correa,historia,murió en el desierto
argentina,difunta correa,nombre_real,deolinda correa
argentina,difunta correa,ofrenda_típica,botellas de agua
argentina,difunta correa,origen,provincia de san juan
argentina,difunta correa,símbolo,madre sacrificada
argentina,difunta correa,época,siglo xix
argentina,diosa madre,culto,presente en muchas culturas
argentina,diosa madre,es,arquetipo religioso
argentina,diosa madre,representa,fertilidad
argentina,diosa madre,representa,naturaleza
argentina,diosa madre,representa,tierra
argentina,diosa madre,símbolo,creación y vida
argentina,diosa madre,época,desde el paleolítico
argentina,duende,actividad,hacer travesuras
argentina,duende,apariencia,ser pequeño
argentina,duende,característica,travieso
argentina,duende,distribución,universal
argentina,duende,es,criatura mitológica
argentina,duende,hábitat,casas y bosques
argentina,duende,origen,folclore europeo
argentina,duende,variante_española,trasgo
argentina,duende,variante_irlandesa,leprechaun
argentina,ekeko,apariencia,hombre pequeño sonriente
argentina,ekeko,característica,carga bultos
argentina,ekeko,es,deidad andina
argentina,ekeko,fecha_celebración,alasitas
argentina,ekeko,ofrenda,cigarrillos
argentina,ekeko,ofrenda,hoja de coca
argentina,ekeko,origen_idioma,aimara
argentina,ekeko,popularidad_en_argentina,época hiperinflación años 80
argentina,ekeko,región_culto,altiplano andino
argentina,ekeko,región_culto,bolivia
argentina,ekeko,región_culto,norte de argentina
argentina,ekeko,representa,abundancia
argentina,ekeko,representa,alegría
argentina,ekeko,representa,fertilidad
argentina,ekeko,vestimenta,ropas típicas del altiplano
argentina,el eropido,es,espíritu maligno
argentina,el eropido,función,causar temor
argentina,el eropido,origen,mitología guaraní
argentina,el eropido,región,folclore del litoral argentino
argentina,el familiar,apariencia,perro negro gigante
argentina,el familiar,asociado_con,ingenios azucareros
argentina,el familiar,es,criatura sobrenatural
argentina,el familiar,exige,sacrificios humanos
argentina,el familiar,función,proteger propiedades
argentina,el familiar,pacto,con dueños de ingenios
argentina,el familiar,región,noroeste argentino
argentina,el familiar,víctimas,trabajadores de ingenios
argentina,el familiar,época,auge industria azucarera
argentina,el fuego,baila,amarillo y rojo
argentina,el fuego,el_hijo_del_misionero_la_tradujo_a,su propia lengua inglesa
argentina,el fuego,en_los_bosques_ventosos,los selk'nam hacían su vida nómada
argentina,el fuego,en_un_tiempo,las canoas de los yamanas trasladaban fogatas portátiles
argentina,el fuego,es,una introducción narrativa
argentina,el fuego,esta_historia_la_escuchó,el hijo de un misionero anglicano a fines del siglo xix
argentina,el fuego,hace_de_cada_rostro,una máscara que cambia
argentina,el fuego,hay_que_contarla_antes_que,salga la luna
argentina,el fuego,invita_a,acercarse al fuego
argentina,el fuego,invita_a,historias contadas una y otra vez
argentina,el fuego,invita_a,sentarse en círculo invisible
argentina,el fuego,invita_a,una historia antigua del comienzo
argentina,el fuego,la_historia_cambió_hasta,llegar aquí
argentina,el fuego,la_historia_se_escuchó_en,idioma que hoy no existe: lengua de los selk'nam
argentina,el fuego,la_historia_trata_sobre,tierra del fuego
argentina,el fuego,la_luna_es,enemiga del fuego
argentina,el fuego,la_luna_está,siempre hambrienta
argentina,el fuego,las_historias_han_sido_dichas_en,idiomas extintos o por extinguirse
argentina,el fuego,las_historias_han_viajado_desde,tiempos remotos
argentina,el fuego,las_historias_tienen,un alma imperecedera
argentina,el fuego,las_historias_vienen_de,lugares salvajes y rincones grises
argentina,el fuego,los_selk'nam_dormían_en,chozas con los perros en el centro
argentina,el fuego,los_yamanas_trasladaban_fogatas_durante,la pesca
argentina,el fuego,mantiene_el_frío,por fuera
argentina,el fuego,mantiene_los_sentidos,por dentro en el abrigo
argentina,el fuego,pertenece_a,argentina
argentina,el fuego,región,tierra del fuego
argentina,el fuego,tierra_del_fuego_es,isla triangular con costas próximas al polo sur
argentina,el futre,actividad,cabalgar por las noches
argentina,el futre,apariencia,hombre bien vestido
argentina,el futre,es,espíritu o demonio
argentina,el futre,función,seducir mujeres
argentina,el futre,región,cuyo
argentina,el futre,vestimenta,traje elegante
argentina,gauchito gil,causa_muerte,fusilamiento
argentina,gauchito gil,color_simbólico,rojo
argentina,gauchito gil,es,santo popular
argentina,gauchito gil,fecha_celebración,8 enero
argentina,gauchito gil,fecha_muerte,8 enero 1878
argentina,gauchito gil,invocado_para,protección y milagros
argentina,gauchito gil,lugar_muerte,mercedes corrientes
argentina,gauchito gil,motivo_muerte,desertor
argentina,gauchito gil,nombre_real,antonio mamerto gil núñez
argentina,gauchito gil,ocupación,gaucho
argentina,gauchito gil,santuario_principal,mercedes corrientes
argentina,gualicho,es,espíritu maligno
argentina,gualicho,función,causar desgracias
argentina,gualicho,origen,culturas pampas y patagónicas
argentina,gualicho,poder,provocar enfermedades
argentina,gualicho,región,patagonia y pampa
argentina,gualicho,uso_término,genérico para mal o demonio
argentina,indio bamba,actividad,defender su pueblo
argentina,indio bamba,característica,rebelde
argentina,indio bamba,es,personaje legendario
argentina,indio bamba,región,provincia de tucumán
argentina,indio bamba,época,época colonial
argentina,la llorona,advertencia,peligro para niños
argentina,la llorona,apariencia,mujer que llora
argentina,la llorona,busca,sus hijos
argentina,la llorona,distribución,toda latinoamérica
argentina,la llorona,es,espectro femenino
argentina,la llorona,función,asustar trasnochadores
argentina,la llorona,horario_aparición,noche
argentina,la llorona,lugar_aparición,cerca de cuerpos de agua
argentina,la llorona,sonido_característico,lamentos y llanto
argentina,los cambios de la luna,a_los_hombres_solo_les_permitían,percibir esa magia a la distancia
argentina,los cambios de la luna,a_partir_de_entonces_los_hombres_comenzaron_a,celebrar su misteriosa ceremonia del hain
argentina,los cambios de la luna,ahora_sabemos_sus_nombres,"cisnes de cuello negro, cauquenes, albatros, nutrias plateadas y otras hermosas apariciones australes"
argentina,los cambios de la luna,al_otro_día_del_incendio,unos niños encontraron criaturas nunca vistas
argentina,los cambios de la luna,alguien_quiso_quemar,el rostro leñoso de uno de esos espíritus
argentina,los cambios de la luna,aparecía,una mujer ballena de cabeza cónica que ululaba
argentina,los cambios de la luna,aparecían,criaturas de rayas blancas y manchas rojas
argentina,los cambios de la luna,aparecían_criaturas_que,estiraban cuellos ondulantes desplegando alas o aletas
argentina,los cambios de la luna,cada_plenilunio_la_tribu,estallaba en ceremonia festiva bajo luz de nieve
argentina,los cambios de la luna,cada_primavera_las_jóvenes_selk'nam,se juntaban en choza especial
argentina,los cambios de la luna,cada_primavera_los_jóvenes_selk'nam,acudían a una choza protegida
argentina,los cambios de la luna,cuando_luna_aparecía_hecha_una_uña_delgada,temblaban al saber que había regresado hambrienta
argentina,los cambios de la luna,de_la_choza_surgían,alaridos y palabras sin sentido
argentina,los cambios de la luna,el_fuego_saltó_de,"antorcha a máscara, de máscara a arbustos, de arbustos a ramaje, de ramaje a construcción"
argentina,los cambios de la luna,el_rostro_de_luna_era,blanco y perfecto como la primera nevada
argentina,los cambios de la luna,en_la_ceremonia_del_hain,los espíritus les transmitirían el secreto del mundo
argentina,los cambios de la luna,esos_espíritus_habían_desaparecido_con,las mujeres del yincihaua
argentina,los cambios de la luna,había_habido_un_tiempo_en_que,luna no cambiaba ni se mantenía lejana
argentina,los cambios de la luna,jamás,sol alcanzaría a luna
argentina,los cambios de la luna,jamás,volverían a sentarse uno junto al otro
argentina,los cambios de la luna,la_ceremonia_del_yincihaua_se_realizaba,lejos en un claro protegido del bosque
argentina,los cambios de la luna,la_choza,ardió en esa noche negra
argentina,los cambios de la luna,la_iniciación_era_gracias_a,"contacto con espíritus que dominan elementos, árboles y animales"
argentina,los cambios de la luna,la_luz_de_luna_era,fría y distante
argentina,los cambios de la luna,la_tribu_ahora_era_gobernada_por,los hombres
argentina,los cambios de la luna,las_criaturas_eran,tan bellas
argentina,los cambios de la luna,las_formas_de_las_criaturas_recordaban_a,los espíritus de manchas brillantes y líneas vistosas
argentina,los cambios de la luna,las_jóvenes_serían_iniciadas_en,el secreto del mundo
argentina,los cambios de la luna,las_mujeres,gobernaban la tribu
argentina,los cambios de la luna,las_mujeres_se_refugiaron_en,la choza
argentina,los cambios de la luna,las_mujeres_solo_tenían_permitido,ver las apariciones a lo lejos
argentina,los cambios de la luna,las_máscaras_estaban_hechas_con,troncos tallados y cortezas
argentina,los cambios de la luna,las_víctimas_eran,"cazadores codiciosos, muchachos que desandaban mal senderos"
argentina,los cambios de la luna,los_hombres,obedecían temerosos
argentina,los cambios de la luna,los_hombres_descubrieron,las máscaras abandonadas entre la maleza
argentina,los cambios de la luna,los_hombres_descubrieron,los pigmentos rojos blancos y negros
argentina,los cambios de la luna,los_hombres_quedaban,boquiabiertos y agazapados
argentina,los cambios de la luna,los_hombres_se_acercaron_recelosos_a,el claro
argentina,los cambios de la luna,los_hombres_se_paralizaban,al sentirse desprotegidos
argentina,los cambios de la luna,los_niños_querían_perseguir,zorros y liebres más allá de las fogatas
argentina,los cambios de la luna,luna_asistía_complacida_a,ceremonias de iniciación: las yincihaua
argentina,los cambios de la luna,luna_bajaba,acompañada de sol
argentina,los cambios de la luna,luna_caía_como_cazadora_aérea_sobre,pobres incautos
argentina,los cambios de la luna,luna_con_su_rostro_quemado_era,una criatura sedienta y feroz
argentina,los cambios de la luna,luna_crecería_a_lo_largo_de_noches_sucesivas,hinchándose con la sangre de sus víctimas humanas
argentina,los cambios de la luna,luna_dijo_que,esa belleza solo era posible con su luz en el refugio de la oscuridad
argentina,los cambios de la luna,luna_fue,ardiente en su defensa
argentina,los cambios de la luna,luna_huyó_al_cielo,herida y furiosa
argentina,los cambios de la luna,luna_llena_significaba_que,ya estaba satisfecha
argentina,los cambios de la luna,luna_llena_tenía_cara,marcada de negras estrías
argentina,los cambios de la luna,luna_respondió_que,sol se creía demasiado poderoso
argentina,los cambios de la luna,luna_respondió_que,todo lo que sol tocaba se volvía ceniza y decepción
argentina,los cambios de la luna,luna_y_sol,combatieron palmo a palmo
argentina,los cambios de la luna,luna_y_sol_paseaban_por,la tierra mezclándose entre los selk'nam
argentina,los cambios de la luna,luna_y_sol_visitaban,poblados errantes escuchando historias y cantos
argentina,los cambios de la luna,no_eran,espíritus
argentina,los cambios de la luna,no_había,magia
argentina,los cambios de la luna,no_había,poderes que transmitir a las mujeres
argentina,los cambios de la luna,nunca_más,volverían a pisar la tierra
argentina,los cambios de la luna,para_los_selk'nam_los_cambios_de_luna_eran,aterradores
argentina,los cambios de la luna,pertenece_a,argentina
argentina,los cambios de la luna,pueblo,selk'nam
argentina,los cambios de la luna,región,tierra del fuego
argentina,los cambios de la luna,salían_de_la_choza,espantosos espíritus
argentina,los cambios de la luna,sol_dijo_que,la belleza de luna no era magia sino reflejo frío de su propia luz
argentina,los cambios de la luna,sol_dijo_que,luna se creía demasiado poderosa
argentina,los cambios de la luna,sol_fue,detrás de ella
argentina,los cambios de la luna,sol_propuso,acercarse
argentina,los cambios de la luna,sol_se_impuso_cuando,al acercarse demasiado terminó quemando el rostro de luna
argentina,los cambios de la luna,sol_y_luna_estaban_sentados,uno junto al otro a espaldas de los hombres
argentina,los cambios de la luna,sol_y_luna_parecían,dos árboles antiguos junto a un sendero
argentina,los cambios de la luna,solo_estarían_seguros_cuando,luna se mostrara llena
argentina,los cambios de la luna,temían_más_por,los niños inquietos
argentina,los cambios de la luna,todas_las_mujeres_que_sabían_el_secreto,perecieron en el interior
argentina,luz mala,apariencia,luz que flota
argentina,luz mala,es,fenómeno luminoso
argentina,luz mala,explicación_científica,gases de descomposición
argentina,luz mala,horario_aparición,noche
argentina,luz mala,interpretación_popular,alma en pena
argentina,luz mala,interpretación_popular,señal de tesoro enterrado
argentina,luz mala,lugar_aparición,campos y cementerios
argentina,luz mala,también_llamada,fuego fatuo
argentina,mitos y leyendas,se_encuentran_en,argentina
argentina,nativa mariana,es,leyenda romántica
argentina,nativa mariana,región,provincia de corrientes
argentina,nativa mariana,tema,amor trágico
argentina,nativa mariana,época,época colonial
argentina,pombero,actividad,recorrer campos de noche
argentina,pombero,apariencia,hombre pequeño y peludo
argentina,pombero,característica,pies al revés
argentina,pombero,es,criatura mitológica
argentina,pombero,ofrenda_para_apaciguarlo,tabaco y miel
argentina,pombero,origen,mitología guaraní
argentina,pombero,poder,silbar e imitar sonidos
argentina,pombero,puede,embarazar mujeres
argentina,pombero,región,litoral y mesopotamia argentina
argentina,pombero,relación_con_humanos,travieso y juguetón
argentina,pombero,también_llamado,pyragué
argentina,rafael mansilla,arzobispado,no hay causas de canonización
argentina,rafael mansilla,arzobispado,no hay indicios de su nombre
argentina,rafael mansilla,característica,ayudó a muchas personas
argentina,rafael mansilla,característica,buena persona
argentina,rafael mansilla,cementerio,cementerio municipal de la vera cruz
argentina,rafael mansilla,de_los_hermanos,era el más conocido
argentina,rafael mansilla,de_los_hermanos,era el más famoso
argentina,rafael mansilla,después_muerte,despertó fervor de santafesinos
argentina,rafael mansilla,efecto_rumores,ritual popular de tintes milagrosos
argentina,rafael mansilla,evento_origen_leyenda,rayo cayó sobre panteón
argentina,rafael mansilla,evento_origen_leyenda,tormenta eléctrica
argentina,rafael mansilla,leyenda_se_remonta,década de 1960
argentina,rafael mansilla,lugar_leyenda,ciudad de santa fe
argentina,rafael mansilla,lugar_veneración,santuario en cementerio
argentina,rafael mansilla,no_estuvo_relacionado_con,religión oficial
argentina,rafael mansilla,no_fue,cura
argentina,rafael mansilla,ofrendas_recibidas,peticiones
argentina,rafael mansilla,ofrendas_recibidas,placas
argentina,rafael mansilla,ofrendas_recibidas,trabajos de brujería
argentina,rafael mansilla,panteón,uno de los más visitados por turistas
argentina,rafael mansilla,panteón_denominado,tumba de los milagros
argentina,rafael mansilla,panteón_se_distingue,por lo construido en torno
argentina,rafael mansilla,panteón_ubicado,diez metros derecha pasillo central
argentina,rafael mansilla,provincia,santa fe
argentina,rafael mansilla,práctica,atendía gente sin cobrarle
argentina,rafael mansilla,rumor,demoledores se asustaron y se fueron
argentina,rafael mansilla,rumor,escucharon gritos desde adentro
argentina,rafael mansilla,rumor,personas intentaron demoler panteón
argentina,rafael mansilla,rumor_mujer,escuchó ruido desde adentro
argentina,rafael mansilla,rumor_mujer,hizo lamento en panteón
argentina,rafael mansilla,rumor_mujer,tenía problema de salud
argentina,rafael mansilla,según_allegados,restos no están en panteón
argentina,rafael mansilla,según_allegados,él hizo construir panteón
argentina,rafael mansilla,según_fuentes_periodísticas,fue médico
argentina,rafael mansilla,tenía,un hermano
argentina,rafael mansilla,venerado_por,supuestos poderes milagrosos
argentina,rufina cambaceres,fecha_muerte,31 mayo 1902
argentina,rufina cambaceres,lugar_muerte,buenos aires
argentina,rufina cambaceres,lugar_nacimiento,parís
argentina,rufina cambaceres,lugar_sepultura,cementerio de la recoleta
argentina,rufina cambaceres,madre,luisa bacucchi
argentina,rufina cambaceres,padre,eugenio cambaceres
argentina,rufina cambaceres,profesión_madre,bailarina italiana
argentina,rufina cambaceres,tipo_leyenda,entierro prematuro
argentina,rufina cambareres,fecha_nacimiento,31 mayo 1883
argentina,sacerdote sin cabeza,apariencia,cura decapitado
argentina,sacerdote sin cabeza,castigo_por,vida pecaminosa
argentina,sacerdote sin cabeza,es,fantasma
argentina,sacerdote sin cabeza,horario_aparición,noche
argentina,sacerdote sin cabeza,lugar_aparición,caminos rurales
argentina,sacerdote sin cabeza,región,norte argentino
argentina,sacerdote sin cabeza,vestimenta,sotana negra
argentina,sierra de la plata,actualmente_se_considera,basada en cerro rico de potosí
argentina,sierra de la plata,alejo_garcía,emboscado por indígenas
argentina,sierra de la plata,alejo_garcía,náufrago
argentina,sierra de la plata,alejo_garcía_atravesó,casi todo el continente
argentina,sierra de la plata,alejo_garcía_llegó,región del altiplano
argentina,sierra de la plata,alejo_garcía_murió,paraguay durante viaje regreso
argentina,sierra de la plata,argentum_en_latín_significa,plata
argentina,sierra de la plata,bautizado_por_díaz_de_solís,mar dulce
argentina,sierra de la plata,caboto_desobedeciendo_mandato,remontó río de la plata
argentina,sierra de la plata,caboto_incursionó,río paraná
argentina,sierra de la plata,caboto_informado_por,melchor ramírez
argentina,sierra de la plata,carta_escrita_desde,río de la plata
argentina,sierra de la plata,carta_luis_ramírez,dirigida a su padre
argentina,sierra de la plata,carta_refiere,sucesos del viaje
argentina,sierra de la plata,cerro_rico_año_descubrimiento,1545
argentina,sierra de la plata,cerro_rico_descubierto,españoles procedentes del perú
argentina,sierra de la plata,cerro_rico_ubicación,bolivia
argentina,sierra de la plata,ciudad_argentina_relacionada,la plata
argentina,sierra de la plata,ciudad_argentina_relacionada,mar del plata
argentina,sierra de la plata,contenido,montañas de plata
argentina,sierra de la plata,costas_origen,santa catarina brasil
argentina,sierra de la plata,descripción,montaña llena de metal de plata
argentina,sierra de la plata,díaz_de_solís_título,primer capitán general de la región
argentina,sierra de la plata,es,lugar mítico
argentina,sierra de la plata,estuario_cartografiado_por,américo vespucio
argentina,sierra de la plata,expediciones_por_río,concluyeron en fracasos
argentina,sierra de la plata,expedición_díaz_de_solís,año 1516
argentina,sierra de la plata,fecha_carta,10 de julio de 1528
argentina,sierra de la plata,fue,lugar legendario
argentina,sierra de la plata,gobernada_por,monarca llamado rey blanco
argentina,sierra de la plata,historia_originada,comienzos del siglo xvi
argentina,sierra de la plata,indios_iban,sierra con oro y plata
argentina,sierra de la plata,influencia,nombre de argentina
argentina,sierra de la plata,influencia,nombre del río de la plata
argentina,sierra de la plata,informantes,originarios tupiguaraníes
argentina,sierra de la plata,informantes_principales,indios querandís
argentina,sierra de la plata,informaron_a,náufragos expedición juan díaz de solís
argentina,sierra de la plata,la_plata_es,capital provincia buenos aires
argentina,sierra de la plata,leyenda_impulsó,colonización cuenca río de la plata
argentina,sierra de la plata,leyenda_impulsó,conquista de argentina
argentina,sierra de la plata,leyenda_impulsó,conquista de paraguay
argentina,sierra de la plata,leyenda_impulsó,conquista de sur de brasil
argentina,sierra de la plata,leyenda_impulsó,conquista de uruguay
argentina,sierra de la plata,leyenda_impulsó,descubrimiento cuenca río de la plata
argentina,sierra de la plata,leyenda_impuso_nombre,río de la plata
argentina,sierra de la plata,leyenda_indígena,sierra gobernada por rey blanco
argentina,sierra de la plata,luis_ramírez,tripulante armada sebastián caboto
argentina,sierra de la plata,mar_del_plata_es,principal ciudad turística del país
argentina,sierra de la plata,melchor_ramírez,náufrago expedición juan díaz de solís
argentina,sierra de la plata,minas_distancia,más de 200 leguas
argentina,sierra de la plata,motivación,expediciones españolas
argentina,sierra de la plata,origen_nombre,leyendas indígenas
argentina,sierra de la plata,primer_europeo_expedición,alejo garcía
argentina,sierra de la plata,querandís_informaron,sierra y rey blanco
argentina,sierra de la plata,realidad,nunca fue encontrada
argentina,sierra de la plata,recopilador_leyenda,luis ramírez
argentina,sierra de la plata,república_argentina_tomó_nombre,vocablo argentum
argentina,sierra de la plata,río_de_la_plata_considerado,entrada natural a tesoros
argentina,sierra de la plata,sebastián_caboto,subió río muchas leguas
argentina,sierra de la plata,sebastián_caboto_halló,objetos de plata entre naturales
argentina,sierra de la plata,sebastián_caboto_se_enteró,fabulosas historias
argentina,sierra de la plata,sobrevivientes_expedición,llegaron a santa catarina
argentina,sierra de la plata,sobrevivientes_llevaron,muestras de metales preciosos
argentina,sierra de la plata,ubicación,interior de sudamérica
argentina,sierra de la plata,ubicación,interior del continente
argentina,sierra de la plata,vespucio_lo_llamó,río jordán
argentina,sierra de la plata,época,conquista española
argentina,telesita,característica,bailarina
argentina,telesita,causa_muerte,quemada viva
argentina,telesita,danza_asociada,chacarera
argentina,telesita,fecha_muerte,1847
argentina,telesita,fecha_nacimiento,1819
argentina,telesita,lugar_muerte,sumampa
argentina,telesita,lugar_nacimiento,santiago del estero
argentina,telesita,nombre_completo,telésfora castillo
argentina,telesita,ocupación,curandera
argentina,telesita,poder,curar con danza
argentina,tormenta de santa rosa,amenaza,desembarco piratas holandeses
argentina,tormenta de santa rosa,asociada_a,nubes convectivas cumulunimbus
argentina,tormenta de santa rosa,ataque_abandonado_realmente,fallecimiento capitán holandés
argentina,tormenta de santa rosa,años_vida_rosa,1586-1617
argentina,tormenta de santa rosa,buenos_aires_frecuencia,63 oportunidades
argentina,tormenta de santa rosa,buenos_aires_período_análisis,1906 a 2018
argentina,tormenta de santa rosa,buenos_aires_porcentaje_ocurrencia,56% de los casos
argentina,tormenta de santa rosa,cambios_desde,fines de agosto
argentina,tormenta de santa rosa,capital_la_pampa,lleva su nombre
argentina,tormenta de santa rosa,causa_fenómeno,acercamiento sector tierra al sol
argentina,tormenta de santa rosa,causa_meteorológica,acercarse la primavera
argentina,tormenta de santa rosa,causa_meteorológica,choque masas aire cálido
argentina,tormenta de santa rosa,causa_meteorológica,sobre frentes fríos
argentina,tormenta de santa rosa,condiciones,aire cálido y húmedo del norte
argentina,tormenta de santa rosa,condiciones,más radiación solar
argentina,tormenta de santa rosa,creyentes_atribuyeron,poder místico de rosa
argentina,tormenta de santa rosa,definición_omm_tormenta,descarga brusca electricidad atmosférica
argentina,tormenta de santa rosa,desarrollo_necesita,condiciones energéticas primavera y verano
argentina,tormenta de santa rosa,designa,tormenta esperada
argentina,tormenta de santa rosa,efecto_tormenta,impidió embarcaciones acercarse
argentina,tormenta de santa rosa,equinoccio_primavera_sur,22 o 23 septiembre
argentina,tormenta de santa rosa,es,expresión singular
argentina,tormenta de santa rosa,evento_leyenda,gran tormenta sin previo aviso
argentina,tormenta de santa rosa,fecha_correspondiente,festividad católica santa rosa de lima
argentina,tormenta de santa rosa,hemisferio,austral
argentina,tormenta de santa rosa,invierno,no ocurren tormentas convectivas
argentina,tormenta de santa rosa,leyenda_atribuye,poderes místicos isabel flores de oliva
argentina,tormenta de santa rosa,leyenda_año,1615
argentina,tormenta de santa rosa,leyenda_lugar,lima ciudad de los reyes
argentina,tormenta de santa rosa,leyenda_popularizada,argentina
argentina,tormenta de santa rosa,manifestación,relámpago
argentina,tormenta de santa rosa,manifestación,trueno
argentina,tormenta de santa rosa,momento_año,final del invierno
argentina,tormenta de santa rosa,nombre_real_religiosa,isabel flores de oliva
argentina,tormenta de santa rosa,observatorio_buenos_aires,smn villa ortúzar
argentina,tormenta de santa rosa,origen_expresión,leyenda
argentina,tormenta de santa rosa,perturbación_causada,continente austral comienza calentamiento
argentina,tormenta de santa rosa,perturbación_causada,polo sur sigue frío
argentina,tormenta de santa rosa,período,diez días antes 30 agosto
argentina,tormenta de santa rosa,período,veinte primeros días septiembre
argentina,tormenta de santa rosa,período_ocurrencia,cinco días antes o después 30 agosto
argentina,tormenta de santa rosa,período_paraguay_uruguay,cinco días posteriores o previos 30 agosto
argentina,tormenta de santa rosa,piratas_habían_asaltado,puerto vecino de callao
argentina,tormenta de santa rosa,popular_en,paraguay
argentina,tormenta de santa rosa,popular_en,uruguay
argentina,tormenta de santa rosa,primeras_tormentas_temporada,fecha santa rosa
